Marker	Language	Dimension	R	P	Ocurrences	CombinesWith	CombinesWithGloss	Function
-an	agg	Dim1cx	-0.3492945363885528	0.00895329424873925	6	fɨfɨrɨ (6)	'know'	Aspectual
a-	arb	Dim1cx	0.3844368962505705	0.0037574295723484786	3	Crf (1), drk (2)	'know', Motion	Aspectual
-nie	arn	Dim1cx	-0.3528209498065223	0.008240639849595322	9	kim (9)	'know'	Aspectual
dew	arn	Dim1cx	-0.35043195918567266	0.008717806166377092	4	kim (4)	'know'	'already'
too	ben	Dim1cx	-0.3723364253283487	0.005121053387187617	5	jana (5)	'know'	Other
para	ben	Dim1cx	0.77467687456733	3.931248120504666e-12	23	jana (8), boojha (9), cina (5)	'know', 'understand', 'know (person)'	Modal
bak	bvz	Dim1cx	-0.3506408728992762	0.008675142819205369	7	ozobohu (6), aa (2), bie (1)	'know', 'see', 'not know'	Known marker
-ule	bzd	Dim1cx	-0.3493341944829842	0.008944991676489428	6	su (6)	'see'	Aspectual
-wa̱	bzd	Dim1cx	0.56063158490256	8.524559468361138e-06	14	ijche̱nuk (9), su (3), ttsé (2)	'know', 'see', 'hear'	Directional
nö	caq	Dim1cx	0.4058254896101393	0.0021120112886687096	17	akaha (17), lōn (10), elnang (4), kūö (3)	'know', 'understand', 'know (person)'	Aspectual
-'po	car	Dim1cx	0.6406725807617566	1.3771718261936316e-07	16	ukuty (16)	'know'	Aspectual
wa	car	Dim1cx	0.5567894852312669	1.0120398025302417e-05	14	ukuty (14)	'know'	Aspectual
-i	cbr	Dim1cx	-0.44828652927999646	0.0005984614024210469	10	’unan (9), sinan (1)	'know', 'understand/think'	Aspectual
-b	cco	Dim1cx	-0.36692736145496474	0.0058596617417307015	18	ñi (6), ngá (4), lí (2), cuíi (5), tɨɨ (1)	'know', 'see', 'know', 'know (person)', 'be able'	Emphatic
lɨ-	cco	Dim1cx	0.6563156279306701	5.3244572829852804e-08	12	ñi (4), cuíi (3), lí' (5)	'know'. 'know (person', 'know'	Aspectual
DAT	che	Dim1cx	-0.5780288501423289	3.813176935915883e-06	32	хаьа (20), вевза (11), хиира (1)	'know', 'know (person)', 'understand'	Knower marker
-taba/-rʉcʉpa	cui	Dim1cx	0.36582336247656955	0.006021380278407772	3	yaputane (1), yaitane (2)	'know', 'know (person)'	'again'
mag	cuk	Dim1cx	0.45068845844759214	0.0005544871727123276	14	ito (7), dake (7)	'hear', 'see'	Modal
-sa	cuk	Dim1cx	0.3517071486206695	0.008460204468861813	3	dake (3)	'see'	Aspectual
-gu	cuk	Dim1cx	0.4509066939426061	0.000550640308299809	7	wisi (4), ito (1), dake (2)	'know', 'hear', 'see'	Other
-ye	cuk	Dim1cx	0.4034320103342119	0.002256896337058005	4	wisi (1), ito (2), dake (1)	'know', 'hear', 'see'	Known marker
na	cul	Dim1cx	-0.36492965491577206	0.006155141156231771	39	nahato (17), ssamo (8), mitta (7), qqui (3), jidsa (4)	'know', 'not know', 'hear', 'see', 'not recognise', 	Auxiliary
j-	cya	Dim1cx	-0.5022795824512616	9.329846212426228e-05	21	lyo (21)	'know'	Other
ti'	cya	Dim1cx	-0.4576297358771291	0.00044333577321808884	22	lyo (21), kiya' (1)	'know', Motion	'mind, intellect'
mi	dis	Dim1cx	-0.3885406605363464	0.0033739942914048455	20	thi (20), phu (1)	'know', 'be able', 	Other
wɔ-	dts	Dim1cx	-0.5151707469889492	5.707579368400872e-05	15	igii (13), inɛɛ (1), jugɔ (1)	'know', 'not know', 'realise'	Auxiliary
-ela	eus	Dim1cx	0.6005771709738222	1.2515219994642332e-06	11	jakin (5), jabetu (5), konturatu (1)	'know', 'realise', Other	Known marker
-i’y	hop	Dim1cx	-0.7285682978426687	2.879075727629447e-10	24	navot (10), tuwa (14)	'hear', 'see'	Other
meg-	hun	Dim1cx	0.6493515080924146	8.183406561952517e-08	14	tud (7), ismer (2), ért (5)	'know', 'know (person)', 'understand'	Aspectual
-ta	ibo	Dim1cx	-0.41207812551217626	0.0017718296129914653	36	ma (30), ghọ (5), ju (1)	'know', Motion, Other	Aspectual
-zu	ibo	Dim1cx	0.3676529195587479	0.005755461138432633	8	ma (8)	'know'	Aspectual
to	jpn	Dim1cx	0.615029226533859	5.8521674869348e-07	8	shiru (3), wakaru (2), satoru (3)	'know', 'understand', 'realise'	Known marker
noda	jpn	Dim1cx	0.35489198806597044	0.007845513190142536	2	satoru (2)	'realise'	Known marker
DAT	kan	Dim1cx	-0.47009179589410094	0.00029312237818815775	30	tiśi (20), gottu (8), artha (2)	'know', 'know', 'understand' 	Knower marker
ge	khk	Dim1cx	0.3820029579669828	0.004002582350417892	7	med (5), oilgoh (1), tani (1)	'know', 'understand', 'know (person)'	Known marker
cwur	kor	Dim1cx	0.40728242006580057	0.002027930161307547	16	알다 (12), 깨닫다 (3), 듣다 (1)	'know', 'understand', 'hear'	Known marker
-ur	kor	Dim1cx	0.3776940291494264	0.004471329939628501	10	알다 (7), 깨닫다 (3)	'know', 'understand'	Known marker
-in	kor	Dim1cx	0.4492718630465896	0.0005800543352513872	6	알다 (5), 깨닫다 (1)	'know', 'understand'	Known marker
re	kqc	Dim1cx	0.3485778894231969	0.009104482927728934	12	adari ufate (1), ve (9), neide (1), baku (1)	'understand', 'see', 'hear', Other	Auxiliary
PFV	kss	Dim1cx	0.38441508878319075	0.003759565862583639	9	sina (6), saaluŋ (3)	'know', 'realise'	Aspectual
da-	mfh	Dim1cx	0.3803480629956928	0.004177220406706694	5	səl (1), tsən (4)	'know', 'hear'	Aspectual
NONSUBJ	mhi	Dim1cx	0.38771533096379623	0.003448203893895298	4	ni (1), eri (2), oce (4), esu (1)	'know', 'hear', 'say', 'find'	Knower marker
-ac	mur	Dim1cx	0.4990304594451346	0.00010527621598025629	7	ga (7)	'know'	Directional
kɔ/vɔ	mur	Dim1cx	0.3592790868787932	0.007062583003630182	5	ga (1), zii (3), cin (1)	'know', 'hear', 'see'	Motion
-døø	mxp	Dim1cx	0.385656892119932	0.00363961060133019	4	nɨja̱'wɨ (2), ja̱'gyukɨ (2)	'know', 'understand'	Other
-a	nhr	Dim1cx	-0.8229186363760728	1.2753276470187427e-14	29	q'ãa (19), c'úù (10)	'know', 'not know'	Other
hãa	nhr	Dim1cx	-0.6536546882572977	6.282946713413612e-08	23	q'ãa (14), c'úù (9)	'know', 'not know'	Aspectual
olpepei	ong	Dim1cx	0.4459475947559114	0.0006442870159784803	5	retai (3), ingitei (1), ulu (1)	'know', 'hear', 'see'	Knower marker
ausk	pdc	Dim1cx	0.428897139707078	0.0010861881496319354	6	funn (6)	'find'	Directional
qo-	plg	Dim1cx	0.3564842549478787	0.007553038736589195	2	ỹáte (1), ateto (1)	'know', 'know (person)'	Other
-PFV	pua	Dim1cx	0.3908227752512227	0.003176096918592154	7	míte (2), jánhaska (2), kurha (2), jurhena (1)	'know', 'understand', 'hear', 'know how'	Aspectual
-pa	roo	Dim1cx	-0.6617193274711441	3.785127166062039e-08	34	tarai (27), pasi (1), roroio (1), uvui (1), evei (5), keke (1)	'know', Other, 'understand', 'be able', 'recognise'	Aspectual
AUX	sja	Dim1cx	-0.6981483221818048	3.1241841041938937e-09	29	k'awa (29)	'know'	Auxiliary
-a	sja	Dim1cx	0.6053057300675048	9.7998798372213e-07	12	k'awa (12)	'know'	Aspectual
få	swe	Dim1cx	0.4237102039691761	0.0012665061282514012	7	veta (4), reda (3)	'know', Other	Modal
a-s	taq	Dim1cx	0.35035062589147525	0.00873446483768171	12	ĕssan (4), ĕfham (2), ĕlmăd (4), ĕsla (2)	'know', 'understand', 'know', 'hear'	Known marker
ato	tby	Dim1cx	0.5143745984704005	5.8868466791191495e-05	12	nako (9), sahe (1), isen (2)	'know', 'understand', 'hear'	Known marker
-un	teo	Dim1cx	0.45750376726387976	0.0004451581928167485	14	jen (14)	'know'	Directional
-ut	teo	Dim1cx	0.5571154014793116	9.974971463474676e-06	10	jen (10)	'know'	Directional
rəkɨs	tnn	Dim1cx	-0.371522405385052	0.005226697459153403	6	ɨtun (6)	'know'	'already'
əmot-	tnn	Dim1cx	0.4083455971148744	0.001968469034139929	3	ɨtun (3)	'know'	Aspectual
-IMPF	tpt	Dim1cx	-0.842869268522014	7.004146352412387e-16	36	kʼatsa (15), malaqasi (9), mispa (11), lani (1)	'know', 'understand', 'know (person)', Other	Aspectual
-PFV	tpt	Dim1cx	0.8547916427774005	1.0130404997119238e-16	18	kʼatsa (9), malaqasi (3), mispa (5), pastak (1)	'know', 'understand', 'know (person)', 'remember'	Aspectual
-po	trn	Dim1cx	0.761228324634154	1.518233903655953e-11	15	echo (10), quictiora (2), imoti (3)	'know', 'understand', 'know (person)'	Aspectual
-iyor	tur	Dim1cx	-0.5491314721488036	1.4158335700571234e-05	16	bil (11), anla (2), tanı (3)	'know', 'understand', 'know (person)'	Aspectual
-ki	udu	Dim1cx	0.4979054501183976	0.00010974136604646371	25	mish (13), nyiṯẖ (6), mol (1), da/ar (5)	'know', 'know (person)', 'not know', 'find out'	Directional
gwo	udu	Dim1cx	0.5409941032608953	2.004831515501644e-05	9	mish (4), da/ar (5)	'know', 'find out'	'word, meaning'
-PFV	wal	Dim1cx	0.5393014260318362	2.1528387610551137e-05	11	er (8), akeek (3)	'know', 'understand'	Aspectual
-ö	xsu	Dim1cx	-0.4137522049243323	0.0016894791415348776	16	ta (16), hini (1)	'see', 'hear'	Aspectual
waiki	xsu	Dim1cx	-0.3755108182105135	0.004726770255651349	5	ta (5)	'see'	'already'
-pa	xsu	Dim1cx	0.3714119125031943	0.005241183687312757	2	pi ku (2)	'realise/think'	Aspectual
-lo	xsu	Dim1cx	0.3714119125031943	0.005241183687312757	2	pi ku (2)	'realise/think'	Emphatic
SIT	yle	Dim1cx	-0.6696663493615305	2.2625266099166522e-08	19	lama (19)	'know'	Auxiliary
POSS	yle	Dim1cx	-0.713236975262818	9.947571449040266e-10	24	lama (23), nt:anê (1)	'know', Other	Auxiliary
-të	yuz	Dim1cx	0.41607979953809615	0.001580664131812202	3	huëshë (3)	'hear'	Other
duam	arn	Dim1lex	0.4191614379738168	0.0014462503486563864	9	ngüne (8), raki (1)	'Motion, 'count'	'mind, intellect'
-le	bvz	Dim1lex	0.42265398778212454	0.001306355751953889	4	ozobohu (1), vabi (3), bi (1)	'know', 'not know', 'not know'	Aspectual
vi	bvz	Dim1lex	0.37493173567855176	0.0047966405086351535	2	Ozobohu (2)	'know'	Directional
é̱na	bzd	Dim1lex	0.8092823043015747	7.583401528656878e-14	16	a̱ne (16)	Motion	Body-part
elnang	caq	Dim1lex	0.5130738511911859	6.190905235219915e-05	7	akaha (7)	'know'	Body-part
-ng	cco	Dim1lex	0.6950225976329334	3.925641965838611e-09	8	ngá (8)	'see'	Other (Animate obj.)
NC	che	Dim1lex	0.3461484347094058	0.009633607917536669	2	кхетa (2)	'understand'	Other
cai²	cmn	Dim1lex	0.37493173567855176	0.0047966405086351535	2	xiao³de² (1), ming²bai (1)	'understand', 'understand'	Emphatic
-be	ctu	Dim1lex	0.5913101943590579	1.998608564796257e-06	7	ña'tyan (1), ch'ʌm (5), ubi (1)	'understand/think', Other, 'hear'	Other
-'en	ctu	Dim1lex	0.3944588617910142	0.00288196743424944	5	ch'ʌm (5)	Other	Other
-s	cuk	Dim1lex	0.4232466645211943	0.0012838586686242167	6	ito (5), dake (1)	'hear', 'see'	Aspectual
-hissa	cul	Dim1lex	0.4323346405405432	0.0009797537101764661	2	mitta (2)	'hear'	Other
-nissa	cul	Dim1lex	0.5212674281085533	4.4924785337364806e-05	5	mitta (5)	'hear'	Other
-ma	cul	Dim1lex	0.37493173567855176	0.0047966405086351535	2	bodi huato (2)	'realise'	Other
bodi	cul	Dim1lex	0.37493173567855176	0.0047966405086351535	2	huato (2)	Other	Body-part
cunta	cya	Dim1lex	0.5406531788405637	2.0338629266860062e-05	11	ki'ya (11)	Motion	'meaning, word'
cha' tiyaa	cya	Dim1lex	0.5186783641388031	4.9759921246431424e-05	3	ki'ya (3)	Motion	'mind, intellect'
agejà	dgr	Dim1lex	0.37493173567855176	0.0047966405086351535	2	yenıedì (2)	'understand'	Motion
da	dje	Dim1lex	0.7825185717063965	1.7119117827705071e-12	7	faham (7)	'understand'	Known marker
kanra	dts	Dim1lex	0.4320128805420723	0.0009893024850245306	2	paamaa (2)	'understand'	Auxiliary
ntɨɨriveŋ	geb	Dim1lex	0.4797015035677119	0.00021073496658134677	3	kaŋgi (3)	'know'	Other
-i	huu	Dim1lex	0.5185544562885648	5.000290802364752e-05	3	caca (3)	'hear'	Emphatic
-ta	jpn	Dim1lex	0.5387009466297955	2.207726464050354e-05	9	shiru (3), wakaru (2), satoru (4)	'know', 'understand', 'realise'	Aspectual
-kośśu	kan	Dim1lex	0.5801976749834892	3.438064644217281e-06	10	tiśi (4), artha (5), grahi (1)	'know', 'meaning', Motion	Auxiliary
-māḍi	kan	Dim1lex	0.6288546750603142	2.7267578981159664e-07	5	artha (5)	'meaning'	Auxiliary
-āgu	kan	Dim1lex	0.4320128805420723	0.0009893024850245306	2	artha (2)	'meaning'	Auxiliary
pɛŋgu	kss	Dim1lex	0.6275365679168328	2.937426505414687e-07	12	sina (12)	'know'	Other
gij	mej	Dim1lex	0.7484298062424308	5.07279312564441e-11	13	odou (13), ebriyi (13)	'understand'	Other
odou	mej	Dim1lex	0.7291026197005065	2.7531772669148466e-10	14	ejginaga (1), ebriyi (13)	'know', Motion	Body-part
-aŋ	mfh	Dim1lex	0.5197821983794002	4.764274051711583e-05	4	tsən (4)	'hear'	Other
ehwi	mhi	Dim1lex	0.3820412922916038	0.003998614462395994	2	eri (2)	'hear'	'word, meaning'
ni	mhi	Dim1lex	0.3820412922916038	0.003998614462395994	2	eri (2)	'hear'	Emphatic
nɨ-	mxp	Dim1lex	0.47999233309470335	0.00020860906756091434	4	madø (4)	'hear'	Other
-wxe³	nab	Dim1lex	0.6898580304912287	5.6893982269726004e-09	12	ã³ne³ (12)	'know'	Other
ire	ong	Dim1lex	0.5185544562885648	5.000290802364752e-05	3	ironom (1), wouye (2)	'not know', 'not know'	Other
-guet	plg	Dim1lex	0.4323346405405432	0.0009797537101764661	2	ỹáte (2)	'know'	Directional
-ngu	pua	Dim1lex	0.7803209181827975	2.168447544059962e-12	8	kurha (8)	'hear'	Other
-PROG	pua	Dim1lex	0.4367905879718308	0.0008557720607955955	2	jánhaska (1), kurha (1)	'understand', 'hear'	Aspectual
na	rop	Dim1lex	0.3593009034127169	0.00705886642967457	3	sabi (3)	'know'	Aspectual
apotu	teo	Dim1lex	0.4323346405405432	0.0009797537101764661	2	jen (2)	'know'	Auxiliary
k̄hêā	tha	Dim1lex	0.7876092374248305	9.796035384443723e-13	9	rū̂ (1), cı (8)	'know', Motion	Body-part
echemcho	trn	Dim1lex	0.6774510727012693	1.3458850479011813e-08	11	echo (11)	'know'	Other
’ban	udu	Dim1lex	0.6886455333226424	6.200432056093459e-09	8	mish (7), mol (1)	'know', 'not know'	Body-part
-DAT	wal	Dim1lex	0.546974012104869	1.5539895859041004e-05	3	akeek (1), gel (2)	'understand', Motion	Knower marker
totia	xsu	Dim1lex	0.4510167177273742	0.0005487100729164999	3	ta (2), hini (1)	'see', 'hear'	Emphatic
-y	agg	Dim2	0.680781652888182	1.0725153932728214e-08	4	fɨfɨrɨ (1), hɨmborɨ (3)	'know'. 'hear'	Other
-ia	cbr	Dim2	0.4402886732386735	0.0007685446467206089	4	’unan (2), cua (2)	'know', 'hear'	Known marker
de²	cmn	Dim2	0.4209787278169673	0.0013718690344745879	2	xiao³ (2)	'understand'	Modal
-d-ye	cuk	Dim2	0.4324627041209762	0.0009759763199090771	2	wisi (2)	'know'	Known marker
ghǫ	dgr	Dim2	0.5450964379904268	1.684269592540499e-05	3	ıìkw'o (3)	'hear'	Known marker
gaa	dje	Dim2	0.3904457210346922	0.0032080677642345023	2	bay (2)	'know'	Known marker
